id	action_type	action_level	motivation	is_success	story_id	name_text_id	relationship	satisfaction	comfortableness	warmth	healing	skill_pt	health	motivation_group_id	camp_friendship_group_id
1430	1	4	3		71001040	四人でおしゃべり							-25	10	
1431	1	4	3	1	71001041	四人でおしゃべり	13.0		6.0			10	-25	11	12010
1440	1	4	4		71001040	四人でおしゃべり							-25	10	
1441	1	4	4	1	71001041	四人でおしゃべり	14.0		6.0			11	-25	11	12010
1450	1	4	5		71001040	四人でおしゃべり							-25	10	
1451	1	4	5	1	71001041	四人でおしゃべり	15.0		7.0			12	-25	11	12010
1510	1	5	1		71001050	みんなでおしゃべり！							-27	10	
1511	1	5	1	1	71001051	みんなでおしゃべり！	11.0		5.0			8	-27	11	12010
1520	1	5	2		71001050	みんなでおしゃべり！							-27	10	
1521	1	5	2	1	71001051	みんなでおしゃべり！	12.0		6.0			9	-27	11	12010
1530	1	5	3		71001050	みんなでおしゃべり！							-27	10	
1531	1	5	3	1	71001051	みんなでおしゃべり！	14.0		7.0			10	-27	11	12010
1540	1	5	4		71001050	みんなでおしゃべり！							-27	10	
1541	1	5	4	1	71001051	みんなでおしゃべり！	15.0		7.0			11	-27	11	12010
1550	1	5	5		71001050	みんなでおしゃべり！							-27	10	
1551	1	5	5	1	71001051	みんなでおしゃべり！	16.0		8.0			12	-27	11	12010
2110	2	1	1		71002010	お菓子！							-20	20	
2111	2	1	1	1	71002011	お菓子！		7.0		3.0		8	-20	21	12010
2120	2	1	2		71002010	お菓子！							-20	20	
2121	2	1	2	1	71002011	お菓子！		8.0		3.0		9	-20	21	12010
2130	2	1	3		71002010	お菓子！							-20	20	
2131	2	1	3	1	71002011	お菓子！		9.0		4.0		10	-20	21	12010
2140	2	1	4		71002010	お菓子！							-20	20	
2141	2	1	4	1	71002011	お菓子！		9.0		4.0		11	-20	21	12010
2150	2	1	5		71002010	お菓子！							-20	20	
2151	2	1	5	1	71002011	お菓子！		10.0		4.0		12	-20	21	12010
2210	2	2	1		71002020	カレーめん！							-21	20	
2211	2	2	1	1	71002021	カレーめん！		8.0		3.0		8	-21	21	12010
2220	2	2	2		71002020	カレーめん！							-21	20	
2221	2	2	2	1	71002021	カレーめん！		9.0		3.0		9	-21	21	12010
2230	2	2	3		71002020	カレーめん！							-21	20	
2231	2	2	3	1	71002021	カレーめん！		10.0		4.0		10	-21	21	12010
2240	2	2	4		71002020	カレーめん！							-21	20	
2241	2	2	4	1	71002021	カレーめん！		11.0		4.0		11	-21	21	12010
2250	2	2	5		71002020	カレーめん！							-21	20	
2251	2	2	5	1	71002021	カレーめん！		12.0		4.0		12	-21	21	12010
2310	2	3	1		71002030	焼き豚まん！							-22	20	
2311	2	3	1	1	71002031	焼き豚まん！		8.0		3.0		8	-22	21	12010
2320	2	3	2		71002030	焼き豚まん！							-22	20	
2321	2	3	2	1	71002031	焼き豚まん！		9.0		3.0		9	-22	21	12010
2330	2	3	3		71002030	焼き豚まん！							-22	20	
2331	2	3	3	1	71002031	焼き豚まん！		11.0		4.0		10	-22	21	12010
2340	2	3	4		71002030	焼き豚まん！							-22	20	
2341	2	3	4	1	71002031	焼き豚まん！		12.0		4.0		11	-22	21	12010
2350	2	3	5		71002030	焼き豚まん！							-22	20	
2351	2	3	5	1	71002031	焼き豚まん！		13.0		4.0		12	-22	21	12010
2410	2	4	1		71002040	やきにく！							-24	20	
2411	2	4	1	1	71002041	やきにく！		9.0		4.0		8	-24	21	12010
2420	2	4	2		71002040	やきにく！							-24	20	
2421	2	4	2	1	71002041	やきにく！		10.0		4.0		9	-24	21	12010
2430	2	4	3		71002040	やきにく！							-24	20	
2431	2	4	3	1	71002041	やきにく！		12.0		5.0		10	-24	21	12010
2440	2	4	4		71002040	やきにく！							-24	20	
2441	2	4	4	1	71002041	やきにく！		13.0		5.0		11	-24	21	12010
2450	2	4	5		71002040	やきにく！							-24	20	
2451	2	4	5	1	71002041	やきにく！		14.0		6.0		12	-24	21	12010
2510	2	5	1		71002050	お鍋！							-26	20	
2511	2	5	1	1	71002051	お鍋！		10.0		4.0		8	-26	21	12010
2520	2	5	2		71002050	お鍋！							-26	20	
2521	2	5	2	1	71002051	お鍋！		11.0		5.0		9	-26	21	12010
2530	2	5	3		71002050	お鍋！							-26	20	
2531	2	5	3	1	71002051	お鍋！		13.0		6.0		10	-26	21	12010
2540	2	5	4		71002050	お鍋！							-26	20	
2541	2	5	4	1	71002051	お鍋！		14.0		6.0		11	-26	21	12010
2550	2	5	5		71002050	お鍋！							-26	20	
2551	2	5	5	1	71002051	お鍋！		15.0		7.0		12	-26	21	12010
3110	3	1	1		71003010	ペグをうつ							-22	30	
3111	3	1	1	1	71003011	ペグをうつ		3.0	3.0	6.0		8	-22	31	12010
3120	3	1	2		71003010	ペグをうつ							-22	30	
3121	3	1	2	1	71003011	ペグをうつ		3.0	3.0	7.0		9	-22	31	12010
3130	3	1	3		71003010	ペグをうつ							-22	30	
3131	3	1	3	1	71003011	ペグをうつ		4.0	4.0	8.0		10	-22	31	12010
3140	3	1	4		71003010	ペグをうつ							-22	30	
3141	3	1	4	1	71003011	ペグをうつ		4.0	4.0	8.0		11	-22	31	12010
3150	3	1	5		71003010	ペグをうつ							-22	30	
3151	3	1	5	1	71003011	ペグをうつ		4.0	4.0	9.0		12	-22	31	12010
3210	3	2	1		71003020	シートをひろげる							-23	30	
3211	3	2	1	1	71003021	シートをひろげる		3.0	3.0	7.0		8	-23	31	12010
3220	3	2	2		71003020	シートをひろげる							-23	30	
3221	3	2	2	1	71003021	シートをひろげる		3.0	3.0	8.0		9	-23	31	12010
3230	3	2	3		71003020	シートをひろげる							-23	30	
3231	3	2	3	1	71003021	シートをひろげる		4.0	4.0	9.0		10	-23	31	12010
3240	3	2	4		71003020	シートをひろげる							-23	30	
3241	3	2	4	1	71003021	シートをひろげる		4.0	4.0	9.0		11	-23	31	12010
3250	3	2	5		71003020	シートをひろげる							-23	30	
3251	3	2	5	1	71003021	シートをひろげる		4.0	4.0	10.0		12	-23	31	12010
3310	3	3	1		71003030	テーブルとイス							-24	30	
3311	3	3	1	1	71003031	テーブルとイス		3.0	3.0	8.0		8	-24	31	12010
3320	3	3	2		71003030	テーブルとイス							-24	30	
3321	3	3	2	1	71003031	テーブルとイス		3.0	3.0	9.0		9	-24	31	12010
3330	3	3	3		71003030	テーブルとイス							-24	30	
3331	3	3	3	1	71003031	テーブルとイス		4.0	4.0	10.0		10	-24	31	12010
3340	3	3	4		71003030	テーブルとイス							-24	30	
3341	3	3	4	1	71003031	テーブルとイス		4.0	4.0	11.0		11	-24	31	12010
3350	3	3	5		71003030	テーブルとイス							-24	30	
3351	3	3	5	1	71003031	テーブルとイス		4.0	4.0	12.0		12	-24	31	12010
3410	3	4	1		71003040	荷物をはこぶ							-26	30	
3411	3	4	1	1	71003041	荷物をはこぶ		4.0	3.0	8.0		8	-26	31	12010
3420	3	4	2		71003040	荷物をはこぶ							-26	30	
3421	3	4	2	1	71003041	荷物をはこぶ		4.0	3.0	9.0		9	-26	31	12010
3430	3	4	3		71003040	荷物をはこぶ							-26	30	
3431	3	4	3	1	71003041	荷物をはこぶ		5.0	4.0	11.0		10	-26	31	12010
3440	3	4	4		71003040	荷物をはこぶ							-26	30	
3441	3	4	4	1	71003041	荷物をはこぶ		5.0	4.0	12.0		11	-26	31	12010
3450	3	4	5		71003040	荷物をはこぶ							-26	30	
3451	3	4	5	1	71003041	荷物をはこぶ		6.0	4.0	13.0		12	-26	31	12010
3510	3	5	1		71003050	タープをはる							-28	30	
3511	3	5	1	1	71003051	タープをはる		4.0	4.0	9.0		8	-28	31	12010
3520	3	5	2		71003050	タープをはる							-28	30	
3521	3	5	2	1	71003051	タープをはる		4.0	4.0	10.0		9	-28	31	12010
3530	3	5	3		71003050	タープをはる							-28	30	
3531	3	5	3	1	71003051	タープをはる		5.0	5.0	12.0		10	-28	31	12010
3540	3	5	4		71003050	タープをはる							-28	30	
3541	3	5	4	1	71003051	タープをはる		5.0	5.0	13.0		11	-28	31	12010
3550	3	5	5		71003050	タープをはる							-28	30	
3551	3	5	5	1	71003051	タープをはる		6.0	6.0	14.0		12	-28	31	12010
4110	4	1	1		71004010	薪ひろい							-20	40	
4111	4	1	1	1	71004011	薪ひろい	4.0			6.0		8	-20	41	12010
4120	4	1	2		71004010	薪ひろい							-20	40	
4121	4	1	2	1	71004011	薪ひろい	4.0			7.0		9	-20	41	12010
4130	4	1	3		71004010	薪ひろい							-20	40	
4131	4	1	3	1	71004011	薪ひろい	5.0			8.0		10	-20	41	12010
4140	4	1	4		71004010	薪ひろい							-20	40	
4141	4	1	4	1	71004011	薪ひろい	5.0			8.0		11	-20	41	12010
4150	4	1	5		71004010	薪ひろい							-20	40	
4151	4	1	5	1	71004011	薪ひろい	6.0			9.0		12	-20	41	12010
4210	4	2	1		71004020	薪を割る							-21	40	
4211	4	2	1	1	71004021	薪を割る	4.0			7.0		8	-21	41	12010
4220	4	2	2		71004020	薪を割る							-21	40	
4221	4	2	2	1	71004021	薪を割る	4.0			8.0		9	-21	41	12010
4230	4	2	3		71004020	薪を割る							-21	40	
4231	4	2	3	1	71004021	薪を割る	5.0			9.0		10	-21	41	12010
4240	4	2	4		71004020	薪を割る							-21	40	
4241	4	2	4	1	71004021	薪を割る	5.0			9.0		11	-21	41	12010
4250	4	2	5		71004020	薪を割る							-21	40	
4251	4	2	5	1	71004021	薪を割る	6.0			10.0		12	-21	41	12010
4310	4	3	1		71004030	火をおこす							-22	40	
4311	4	3	1	1	71004031	火をおこす	4.0			8.0		8	-22	41	12010
4320	4	3	2		71004030	火をおこす							-22	40	
4321	4	3	2	1	71004031	火をおこす	4.0			9.0		9	-22	41	12010
4330	4	3	3		71004030	火をおこす							-22	40	
4331	4	3	3	1	71004031	火をおこす	5.0			10.0		10	-22	41	12010
4340	4	3	4		71004030	火をおこす							-22	40	
4341	4	3	4	1	71004031	火をおこす	5.0			11.0		11	-22	41	12010
4350	4	3	5		71004030	火をおこす							-22	40	
4351	4	3	5	1	71004031	火をおこす	6.0			12.0		12	-22	41	12010
4410	4	4	1		71004040	焚き火にあたる							-24	40	
4411	4	4	1	1	71004041	焚き火にあたる	4.0			8.0		8	-24	41	12010
4420	4	4	2		71004040	焚き火にあたる							-24	40	
4421	4	4	2	1	71004041	焚き火にあたる	5.0			9.0		9	-24	41	12010
4430	4	4	3		71004040	焚き火にあたる							-24	40	
4431	4	4	3	1	71004041	焚き火にあたる	6.0			11.0		10	-24	41	12010
4440	4	4	4		71004040	焚き火にあたる							-24	40	
4441	4	4	4	1	71004041	焚き火にあたる	6.0			12.0		11	-24	41	12010
4450	4	4	5		71004040	焚き火にあたる							-24	40	
4451	4	4	5	1	71004041	焚き火にあたる	7.0			13.0		12	-24	41	12010
4510	4	5	1		71004050	みんなで焚き火にあたる							-26	40	
4511	4	5	1	1	71004051	みんなで焚き火にあたる	5.0			9.0		8	-26	41	12010
4520	4	5	2		71004050	みんなで焚き火にあたる							-26	40	
4521	4	5	2	1	71004051	みんなで焚き火にあたる	6.0			10.0		9	-26	41	12010
4530	4	5	3		71004050	みんなで焚き火にあたる							-26	40	
4531	4	5	3	1	71004051	みんなで焚き火にあたる	7.0			12.0		10	-26	41	12010
4540	4	5	4		71004050	みんなで焚き火にあたる							-26	40	
4541	4	5	4	1	71004051	みんなで焚き火にあたる	7.0			13.0		11	-26	41	12010
4550	4	5	5		71004050	みんなで焚き火にあたる							-26	40	
4551	4	5	5	1	71004051	みんなで焚き火にあたる	8.0			14.0		12	-26	41	12010
5110	5	1	1		71005010	景色を見る							5	50	
5111	5	1	1	1	71005011	景色を見る	1.0				7.0	8	5	51	12010
5120	5	1	2		71005010	景色を見る							5	50	
5121	5	1	2	1	71005011	景色を見る	1.0				8.0	9	5	51	12010
5130	5	1	3		71005010	景色を見る							5	50	
5131	5	1	3	1	71005011	景色を見る	2.0				9.0	10	5	51	12010
5140	5	1	4		71005010	景色を見る							5	50	
5141	5	1	4	1	71005011	景色を見る	2.0				9.0	11	5	51	12010
5150	5	1	5		71005010	景色を見る							5	50	
5151	5	1	5	1	71005011	景色を見る	2.0				10.0	12	5	51	12010
5210	5	2	1		71005020	二人で景色を見る							5	50	
5211	5	2	1	1	71005021	二人で景色を見る	1.0				8.0	8	5	51	12010
5220	5	2	2		71005020	二人で景色を見る							5	50	
5221	5	2	2	1	71005021	二人で景色を見る	1.0				9.0	9	5	51	12010
5230	5	2	3		71005020	二人で景色を見る							5	50	
5231	5	2	3	1	71005021	二人で景色を見る	2.0				10.0	10	5	51	12010
5240	5	2	4		71005020	二人で景色を見る							5	50	
5241	5	2	4	1	71005021	二人で景色を見る	2.0				11.0	11	5	51	12010
5250	5	2	5		71005020	二人で景色を見る							5	50	
5251	5	2	5	1	71005021	二人で景色を見る	2.0				12.0	12	5	51	12010
5310	5	3	1		71005030	三人で景色を見る							5	50	
5311	5	3	1	1	71005031	三人で景色を見る	1.0				8.0	8	5	51	12010
5320	5	3	2		71005030	三人で景色を見る							5	50	
5321	5	3	2	1	71005031	三人で景色を見る	1.0				9.0	9	5	51	12010
5330	5	3	3		71005030	三人で景色を見る							5	50	
5331	5	3	3	1	71005031	三人で景色を見る	2.0				11.0	10	5	51	12010
5340	5	3	4		71005030	三人で景色を見る							5	50	
5341	5	3	4	1	71005031	三人で景色を見る	2.0				12.0	11	5	51	12010
5350	5	3	5		71005030	三人で景色を見る							5	50	
5351	5	3	5	1	71005031	三人で景色を見る	2.0				13.0	12	5	51	12010
5410	5	4	1		71005040	四人で景色を見る							5	50	
5411	5	4	1	1	71005041	四人で景色を見る	2.0				9.0	8	5	51	12010
5420	5	4	2		71005040	四人で景色を見る							5	50	
5421	5	4	2	1	71005041	四人で景色を見る	2.0				10.0	9	5	51	12010
5430	5	4	3		71005040	四人で景色を見る							5	50	
5431	5	4	3	1	71005041	四人で景色を見る	3.0				12.0	10	5	51	12010
5440	5	4	4		71005040	四人で景色を見る							5	50	
5441	5	4	4	1	71005041	四人で景色を見る	3.0				13.0	11	5	51	12010
5450	5	4	5		71005040	四人で景色を見る							5	50	
5451	5	4	5	1	71005041	四人で景色を見る	3.0				14.0	12	5	51	12010
5510	5	5	1		71005050	みんなで景色を見る							5	50	
5511	5	5	1	1	71005051	みんなで景色を見る	3.0				10.0	8	5	51	12010
5520	5	5	2		71005050	みんなで景色を見る							5	50	
5521	5	5	2	1	71005051	みんなで景色を見る	3.0				11.0	9	5	51	12010
5530	5	5	3		71005050	みんなで景色を見る							5	50	
5531	5	5	3	1	71005051	みんなで景色を見る	4.0				13.0	10	5	51	12010
5540	5	5	4		71005050	みんなで景色を見る							5	50	
5541	5	5	4	1	71005051	みんなで景色を見る	4.0				14.0	11	5	51	12010
5550	5	5	5		71005050	みんなで景色を見る							5	50	
5551	5	5	5	1	71005051	みんなで景色を見る	4.0				15.0	12	5	51	12010
